Defense,Attack,Epsilon,Accuracy,Precision,Recall,F1_Score,Detection_Rate
adversarial_training_1,pgd,0.4,0.34608666666666665,0.3241908470458255,0.34608666666666665,0.3250722660050169,0.0
adversarial_training_2,pgd,0.4,0.4060666666666667,0.38565937006097906,0.4060666666666667,0.37832795785812995,0.0
adversarial_training_3,pgd,0.4,0.53829,0.5382914248239177,0.53829,0.5382857049027698,0.0
ood_denoising,pgd,0.4,0.29684333333333335,0.21780350319969857,0.29684333333333335,0.2438996925145666,0.05
combined_defense,pgd,0.4,0.7441133333333333,0.7581505322268028,0.7441133333333333,0.7405868698469668,0.05
baseline,pgd,0.5,0.05738666666666667,0.05147832743278155,0.05738666666666667,0.05427216786038535,0.0
adversarial_training_1,pgd,0.5,0.052153333333333336,0.04722721949217005,0.052153333333333336,0.04956818714636016,0.0
adversarial_training_2,pgd,0.5,0.13032,0.10337606295215129,0.13032,0.11529478377804514,0.0
adversarial_training_3,pgd,0.5,0.0502,0.047577631261763856,0.050199999999999995,0.04882167496768061,0.0
ood_denoising,pgd,0.5,0.09146,0.09036989885609432,0.09146,0.09085514952715339,0.05
combined_defense,pgd,0.5,0.51936,0.5249963102094926,0.51936,0.49064704987915503,0.05
baseline,pgd,0.5,0.05738666666666667,0.05147832743278155,0.05738666666666667,0.05427216786038535,0.0
adversarial_training_1,pgd,0.5,0.052153333333333336,0.04722721949217005,0.052153333333333336,0.04956818714636016,0.0
adversarial_training_2,pgd,0.5,0.13032,0.10337606295215129,0.13032,0.11529478377804514,0.0
adversarial_training_3,pgd,0.5,0.0502,0.047577631261763856,0.050199999999999995,0.04882167496768061,0.0
ood_denoising,pgd,0.5,0.09146333333333333,0.09041048758757232,0.09146333333333333,0.09087911179535305,0.05
combined_defense,pgd,0.5,0.5206733333333333,0.5266619483167002,0.5206733333333333,0.49215628295721564,0.05
baseline,pgd,0.7,0.018063333333333334,0.017433518424388266,0.018063333333333334,0.017742838526745224,0.0
adversarial_training_1,pgd,0.7,0.018063333333333334,0.017433518424388266,0.018063333333333334,0.017742838526745224,0.0
adversarial_training_2,pgd,0.7,0.018063333333333334,0.017433518424388266,0.018063333333333334,0.017742838526745224,0.0
adversarial_training_3,pgd,0.7,0.018063333333333334,0.017433518424388266,0.018063333333333334,0.017742838526745224,0.0
ood_denoising,pgd,0.7,0.055,0.05428352173572034,0.055,0.05462008126449678,0.05
combined_defense,pgd,0.7,0.11225,0.10933686477884441,0.11225,0.11059194367136554,0.05
baseline,pgd,1.0,0.018063333333333334,0.017433518424388266,0.018063333333333334,0.017742838526745224,0.0
adversarial_training_1,pgd,1.0,0.018063333333333334,0.017433518424388266,0.018063333333333334,0.017742838526745224,0.0
adversarial_training_2,pgd,1.0,0.018063333333333334,0.017433518424388266,0.018063333333333334,0.017742838526745224,0.0
adversarial_training_3,pgd,1.0,0.018063333333333334,0.017433518424388266,0.018063333333333334,0.017742838526745224,0.0
ood_denoising,pgd,1.0,0.025313333333333334,0.025111548713664944,0.025313333333333334,0.02520978392479623,0.05
combined_defense,pgd,1.0,0.03616,0.035515383211743634,0.03616,0.035825477035273126,0.05
baseline,blackbox,0.05,0.9820466666666666,0.9826689663161419,0.9820466666666666,0.9820408780433666,0.0
adversarial_training_1,blackbox,0.05,0.9795733333333333,0.9803750768600122,0.9795733333333333,0.979564806775299,0.0
adversarial_training_2,blackbox,0.05,0.9796966666666667,0.9804889455509928,0.9796966666666667,0.9796882936665272,0.0
adversarial_training_3,blackbox,0.05,0.97796,0.9788905064745996,0.97796,0.9779492886111548,0.0
ood_denoising,blackbox,0.05,0.94627,0.9464867549327245,0.94627,0.9462634781625395,0.05
combined_defense,blackbox,0.05,0.92738,0.92738753911619,0.92738,0.9273796797443876,0.05
baseline,blackbox,0.1,0.9819033333333334,0.9825340359646116,0.9819033333333334,0.9818974180272451,0.0
adversarial_training_1,blackbox,0.1,0.9790733333333334,0.9799134629307862,0.9790733333333334,0.9790641708430717,0.0
adversarial_training_2,blackbox,0.1,0.9793433333333333,0.980161811801258,0.9793433333333333,0.9793345267995628,0.0
adversarial_training_3,blackbox,0.1,0.97744,0.9784122324005228,0.97744,0.9774285325298375,0.0
ood_denoising,blackbox,0.1,0.94608,0.9463133703186871,0.94608,0.9460729505961831,0.05
combined_defense,blackbox,0.1,0.92587,0.9258776322003663,0.92587,0.9258696678755204,0.05
baseline,blackbox,0.2,0.9818266666666666,0.9824547099976634,0.9818266666666666,0.9818207503825843,0.0
adversarial_training_1,blackbox,0.2,0.9783466666666667,0.9792388343795587,0.9783466666666667,0.9783365843242989,0.0
adversarial_training_2,blackbox,0.2,0.97866,0.9795258718960973,0.97866,0.9786503623285339,0.0
adversarial_training_3,blackbox,0.2,0.9763233333333333,0.9773847682159611,0.9763233333333333,0.9763101651204057,0.0
ood_denoising,blackbox,0.2,0.94588,0.9462039989168961,0.94588,0.9458701737741528,0.05
combined_defense,blackbox,0.2,0.9195933333333334,0.9196170628460842,0.9195933333333334,0.9195921965599714,0.05
baseline,blackbox,0.3,0.98061,0.9812306756908561,0.98061,0.9806037458353855,0.0
adversarial_training_1,blackbox,0.3,0.9773466666666667,0.9782975081678748,0.9773466666666667,0.9773354025269222,0.0
