Defense,Attack,Epsilon,Accuracy,F1,Precision,Recall,Detection_Rate
adversarial_training_3,fgsm,1,0.05654160909767244,0.09260962894817541,0.08064803275769984,0.10873739798367739,0
ood_denoising,fgsm,1,0.2593261770645127,0.3776011431633473,0.3006684682122031,0.5074411905904945,0.10001062812201084
combined_defense,fgsm,1,0.2620894887873313,0.3799231937126016,0.302517422841701,0.5105616898703793,0.10001062812201084
baseline,pgd,0.1,0.8472738867042193,0.848081192515065,0.7577933119214056,0.9627940470475276,0
adversarial_training_1,pgd,0.1,0.9910723775108938,0.9900190114068441,0.9802352941176471,1,0
adversarial_training_2,pgd,0.1,0.9894781592092677,0.9880043620501636,0.9975532175189625,0.9786365818530965,0
adversarial_training_3,pgd,0.1,0.9934105643532788,0.992519305019305,0.9978165938864629,0.9872779644743159,0
ood_denoising,pgd,0.1,0.8387713890955468,0.8416988416988417,0.74450803027506,0.9680748919827172,0.10001062812201084
combined_defense,pgd,0.1,0.8791582527367414,0.8652364584567974,0.854600796066495,0.8761401824291887,0.10001062812201084
baseline,pgd,0.2,0.45913487086831756,0.5554293701406482,0.4366158494712265,0.7630820931349016,0
adversarial_training_1,pgd,0.2,0.8147518333510468,0.8240282685512368,0.7110994946854853,0.9795967354776765,0
adversarial_training_2,pgd,0.2,0.8743755978318631,0.8464536243180046,0.9224235560588901,0.7820451272203552,0
adversarial_training_3,pgd,0.2,0.9350621745137634,0.9268000479214089,0.9251375269074384,0.928468554968795,0
ood_denoising,pgd,0.2,0.5044106706344988,0.5929999127171162,0.4659168838293787,0.8154104656745079,0.10001062812201084
combined_defense,pgd,0.2,0.8633223509405888,0.8485990110666353,0.83271719038817,0.8650984157465195,0.10001062812201084
baseline,pgd,0.3,0.19778935062174513,0.3174172544763972,0.2546430644225189,0.4212674027844455,0
adversarial_training_1,pgd,0.3,0.4083324476564991,0.5572962226640159,0.41669639671780234,0.8410945751320211,0
adversarial_training_2,pgd,0.3,0.45998512062918484,0.3825495199902783,0.38739847403396505,0.37782045127220354,0
adversarial_training_3,pgd,0.3,0.6083537039005208,0.6381223607974075,0.5399700847598471,0.7798847815650504,0
ood_denoising,pgd,0.3,0.2716547985970879,0.3848846602638901,0.3073835125448029,0.514642342774844,0.10001062812201084
combined_defense,pgd,0.3,0.8430226378998831,0.8249792629458467,0.8146501287151884,0.8355736917906865,0.10001062812201084
baseline,pgd,0.4,0.1347645870974599,0.22606711664606902,0.18715567448449552,0.285405664906385,0
adversarial_training_1,pgd,0.4,0.19056222765437347,0.3070063694267516,0.24721570926143024,0.40494479116658666,0
